filename,label,generator,source_id,row_idx,attack_type,generative_model,source_dataset,orig_filename,split,path
train_001265_REAL.wav,0,REAL,1265,6325,real,real,UrbanSound8K,94631-9-1-25.wav,train,data/processed/train/train_001265_REAL.wav
train_001265_G03.wav,1,G03,1265,6326,tta,audiogen,UrbanSound8K,94631-9-1-25.wav,train,data/processed/train/train_001265_G03.wav
train_001265_G01.wav,1,G01,1265,6327,tta,audioldm1,UrbanSound8K,94631-9-1-25.wav,train,data/processed/train/train_001265_G01.wav
train_001265_G02.wav,1,G02,1265,6328,tta,audioldm2,UrbanSound8K,94631-9-1-25.wav,train,data/processed/train/train_001265_G02.wav
train_001265_G04.wav,1,G04,1265,6329,ata,audioldm1,UrbanSound8K,94631-9-1-25.wav,train,data/processed/train/train_001265_G04.wav
train_001266_REAL.wav,0,REAL,1266,6330,real,real,UrbanSound8K,94636-8-0-1.wav,train,data/processed/train/train_001266_REAL.wav
train_001266_G03.wav,1,G03,1266,6331,tta,audiogen,UrbanSound8K,94636-8-0-1.wav,train,data/processed/train/train_001266_G03.wav
train_001266_G01.wav,1,G01,1266,6332,tta,audioldm1,UrbanSound8K,94636-8-0-1.wav,train,data/processed/train/train_001266_G01.wav
train_001266_G02.wav,1,G02,1266,6333,tta,audioldm2,UrbanSound8K,94636-8-0-1.wav,train,data/processed/train/train_001266_G02.wav
train_001266_G04.wav,1,G04,1266,6334,ata,audioldm1,UrbanSound8K,94636-8-0-1.wav,train,data/processed/train/train_001266_G04.wav
train_001267_REAL.wav,0,REAL,1267,6335,real,real,UrbanSound8K,94636-8-0-11.wav,train,data/processed/train/train_001267_REAL.wav
train_001267_G03.wav,1,G03,1267,6336,tta,audiogen,UrbanSound8K,94636-8-0-11.wav,train,data/processed/train/train_001267_G03.wav
train_001267_G01.wav,1,G01,1267,6337,tta,audioldm1,UrbanSound8K,94636-8-0-11.wav,train,data/processed/train/train_001267_G01.wav
train_001267_G02.wav,1,G02,1267,6338,tta,audioldm2,UrbanSound8K,94636-8-0-11.wav,train,data/processed/train/train_001267_G02.wav
train_001267_G04.wav,1,G04,1267,6339,ata,audioldm1,UrbanSound8K,94636-8-0-11.wav,train,data/processed/train/train_001267_G04.wav
train_001268_REAL.wav,0,REAL,1268,6340,real,real,UrbanSound8K,94636-8-0-12.wav,train,data/processed/train/train_001268_REAL.wav
train_001268_G03.wav,1,G03,1268,6341,tta,audiogen,UrbanSound8K,94636-8-0-12.wav,train,data/processed/train/train_001268_G03.wav
train_001268_G01.wav,1,G01,1268,6342,tta,audioldm1,UrbanSound8K,94636-8-0-12.wav,train,data/processed/train/train_001268_G01.wav
train_001268_G02.wav,1,G02,1268,6343,tta,audioldm2,UrbanSound8K,94636-8-0-12.wav,train,data/processed/train/train_001268_G02.wav
train_001268_G04.wav,1,G04,1268,6344,ata,audioldm1,UrbanSound8K,94636-8-0-12.wav,train,data/processed/train/train_001268_G04.wav
train_001269_REAL.wav,0,REAL,1269,6345,real,real,UrbanSound8K,94636-8-0-13.wav,train,data/processed/train/train_001269_REAL.wav
train_001269_G03.wav,1,G03,1269,6346,tta,audiogen,UrbanSound8K,94636-8-0-13.wav,train,data/processed/train/train_001269_G03.wav
train_001269_G01.wav,1,G01,1269,6347,tta,audioldm1,UrbanSound8K,94636-8-0-13.wav,train,data/processed/train/train_001269_G01.wav
train_001269_G02.wav,1,G02,1269,6348,tta,audioldm2,UrbanSound8K,94636-8-0-13.wav,train,data/processed/train/train_001269_G02.wav
train_001269_G04.wav,1,G04,1269,6349,ata,audioldm1,UrbanSound8K,94636-8-0-13.wav,train,data/processed/train/train_001269_G04.wav
train_001270_REAL.wav,0,REAL,1270,6350,real,real,UrbanSound8K,94636-8-0-15.wav,train,data/processed/train/train_001270_REAL.wav
train_001270_G03.wav,1,G03,1270,6351,tta,audiogen,UrbanSound8K,94636-8-0-15.wav,train,data/processed/train/train_001270_G03.wav
train_001270_G01.wav,1,G01,1270,6352,tta,audioldm1,UrbanSound8K,94636-8-0-15.wav,train,data/processed/train/train_001270_G01.wav
train_001270_G02.wav,1,G02,1270,6353,tta,audioldm2,UrbanSound8K,94636-8-0-15.wav,train,data/processed/train/train_001270_G02.wav
train_001270_G04.wav,1,G04,1270,6354,ata,audioldm1,UrbanSound8K,94636-8-0-15.wav,train,data/processed/train/train_001270_G04.wav
train_001271_REAL.wav,0,REAL,1271,6355,real,real,UrbanSound8K,94636-8-0-17.wav,train,data/processed/train/train_001271_REAL.wav
train_001271_G03.wav,1,G03,1271,6356,tta,audiogen,UrbanSound8K,94636-8-0-17.wav,train,data/processed/train/train_001271_G03.wav
train_001271_G01.wav,1,G01,1271,6357,tta,audioldm1,UrbanSound8K,94636-8-0-17.wav,train,data/processed/train/train_001271_G01.wav
train_001271_G02.wav,1,G02,1271,6358,tta,audioldm2,UrbanSound8K,94636-8-0-17.wav,train,data/processed/train/train_001271_G02.wav
train_001271_G04.wav,1,G04,1271,6359,ata,audioldm1,UrbanSound8K,94636-8-0-17.wav,train,data/processed/train/train_001271_G04.wav
train_001272_REAL.wav,0,REAL,1272,6360,real,real,UrbanSound8K,94636-8-0-18.wav,train,data/processed/train/train_001272_REAL.wav
train_001272_G03.wav,1,G03,1272,6361,tta,audiogen,UrbanSound8K,94636-8-0-18.wav,train,data/processed/train/train_001272_G03.wav
train_001272_G01.wav,1,G01,1272,6362,tta,audioldm1,UrbanSound8K,94636-8-0-18.wav,train,data/processed/train/train_001272_G01.wav
train_001272_G02.wav,1,G02,1272,6363,tta,audioldm2,UrbanSound8K,94636-8-0-18.wav,train,data/processed/train/train_001272_G02.wav
train_001272_G04.wav,1,G04,1272,6364,ata,audioldm1,UrbanSound8K,94636-8-0-18.wav,train,data/processed/train/train_001272_G04.wav
train_001273_REAL.wav,0,REAL,1273,6365,real,real,UrbanSound8K,94636-8-0-19.wav,train,data/processed/train/train_001273_REAL.wav
train_001273_G03.wav,1,G03,1273,6366,tta,audiogen,UrbanSound8K,94636-8-0-19.wav,train,data/processed/train/train_001273_G03.wav
train_001273_G01.wav,1,G01,1273,6367,tta,audioldm1,UrbanSound8K,94636-8-0-19.wav,train,data/processed/train/train_001273_G01.wav
train_001273_G02.wav,1,G02,1273,6368,tta,audioldm2,UrbanSound8K,94636-8-0-19.wav,train,data/processed/train/train_001273_G02.wav
train_001273_G04.wav,1,G04,1273,6369,ata,audioldm1,UrbanSound8K,94636-8-0-19.wav,train,data/processed/train/train_001273_G04.wav
train_001274_REAL.wav,0,REAL,1274,6370,real,real,UrbanSound8K,94636-8-0-20.wav,train,data/processed/train/train_001274_REAL.wav
train_001274_G03.wav,1,G03,1274,6371,tta,audiogen,UrbanSound8K,94636-8-0-20.wav,train,data/processed/train/train_001274_G03.wav
train_001274_G01.wav,1,G01,1274,6372,tta,audioldm1,UrbanSound8K,94636-8-0-20.wav,train,data/processed/train/train_001274_G01.wav
train_001274_G02.wav,1,G02,1274,6373,tta,audioldm2,UrbanSound8K,94636-8-0-20.wav,train,data/processed/train/train_001274_G02.wav
train_001274_G04.wav,1,G04,1274,6374,ata,audioldm1,UrbanSound8K,94636-8-0-20.wav,train,data/processed/train/train_001274_G04.wav
train_001275_REAL.wav,0,REAL,1275,6375,real,real,UrbanSound8K,94636-8-0-21.wav,train,data/processed/train/train_001275_REAL.wav
train_001275_G03.wav,1,G03,1275,6376,tta,audiogen,UrbanSound8K,94636-8-0-21.wav,train,data/processed/train/train_001275_G03.wav
train_001275_G01.wav,1,G01,1275,6377,tta,audioldm1,UrbanSound8K,94636-8-0-21.wav,train,data/processed/train/train_001275_G01.wav
train_001275_G02.wav,1,G02,1275,6378,tta,audioldm2,UrbanSound8K,94636-8-0-21.wav,train,data/processed/train/train_001275_G02.wav
train_001275_G04.wav,1,G04,1275,6379,ata,audioldm1,UrbanSound8K,94636-8-0-21.wav,train,data/processed/train/train_001275_G04.wav
train_001276_REAL.wav,0,REAL,1276,6380,real,real,UrbanSound8K,94636-8-0-3.wav,train,data/processed/train/train_001276_REAL.wav
