,n,n_real,n_fake,accuracy,bal_acc,precision,recall,f1,auc,eer,scope,name,seen
train,6000.0,1200.0,4800.0,0.9345,0.9540625,0.9963955845911241,0.9214583333333334,0.9574629288884078,0.9950963541666666,0.026666666666666672,split,,
validation,1500.0,300.0,1200.0,0.9106666666666666,0.9104166666666667,0.9758928571428571,0.9108333333333334,0.9422413793103448,0.9690611111111112,0.09,split,,
test,2400.0,300.0,2100.0,0.7675,0.8157142857142857,0.9776951672862454,0.7514285714285714,0.8497576736672051,0.9086301587301587,0.18666666666666665,split,,
G01,600.0,300.0,300.0,0.905,0.905,0.8857142857142857,0.93,0.9073170731707317,0.9659333333333333,0.1,generator,AudioLDM (TTA),seen
G02,600.0,300.0,300.0,0.9033333333333333,0.9033333333333333,0.8853503184713376,0.9266666666666666,0.9055374592833876,0.9648,0.10333333333333333,generator,AudioLDM 2 (TTA),seen
G03,600.0,300.0,300.0,0.8366666666666667,0.8366666666666667,0.8686131386861314,0.7933333333333333,0.8292682926829268,0.914611111111111,0.17333333333333334,generator,AudioGen (TTA),seen
G04,600.0,300.0,300.0,0.9033333333333333,0.9033333333333333,0.8853503184713376,0.9266666666666666,0.9055374592833876,0.9655555555555555,0.10333333333333339,generator,AudioLDM (ATA),seen
G05,600.0,300.0,300.0,0.5733333333333334,0.5733333333333334,0.6896551724137931,0.26666666666666666,0.38461538461538464,0.7729,0.2866666666666666,generator,AudioLCM (TTA),UNSEEN
G06,600.0,300.0,300.0,0.7,0.7,0.8125,0.52,0.6341463414634146,0.8287333333333333,0.2366666666666667,generator,TangoFlux (TTA),UNSEEN
G07,600.0,300.0,300.0,0.8883333333333333,0.8883333333333333,0.8819672131147541,0.8966666666666666,0.8892561983471075,0.9478777777777778,0.11333333333333334,generator,AudioLDM 2 (ATA),UNSEEN
