,n,n_real,n_fake,accuracy,bal_acc,precision,recall,f1,auc,eer,scope,name,seen
train,6000.0,1200.0,4800.0,0.866,0.854375,0.9549180327868853,0.87375,0.912532637075718,0.9069027777777778,0.14666666666666667,split,,
validation,1500.0,300.0,1200.0,0.8553333333333333,0.8558333333333333,0.9597754911131899,0.855,0.9043631555751432,0.907275,0.14500000000000002,split,,
test,2400.0,300.0,2100.0,0.8179166666666666,0.7602380952380953,0.9487317862924987,0.8371428571428572,0.8894510498355679,0.8149888888888889,0.22666666666666668,split,,
G01,600.0,300.0,300.0,0.8166666666666667,0.8166666666666667,0.75,0.95,0.8382352941176471,0.8874333333333333,0.17666666666666664,generator,AudioLDM (TTA),seen
G02,600.0,300.0,300.0,0.8066666666666666,0.8066666666666666,0.7459893048128342,0.93,0.827893175074184,0.872811111111111,0.19,generator,AudioLDM 2 (TTA),seen
G03,600.0,300.0,300.0,0.83,0.8300000000000001,0.7551546391752577,0.9766666666666667,0.8517441860465116,0.8774777777777778,0.18,generator,AudioGen (TTA),seen
G04,600.0,300.0,300.0,0.7033333333333334,0.7033333333333334,0.6955128205128205,0.7233333333333334,0.7091503267973857,0.7348666666666668,0.29333333333333333,generator,AudioLDM (ATA),seen
G05,600.0,300.0,300.0,0.825,0.825,0.7532467532467533,0.9666666666666667,0.8467153284671532,0.9336111111111111,0.1333333333333333,generator,AudioLCM (TTA),UNSEEN
G06,600.0,300.0,300.0,0.83,0.8300000000000001,0.7551546391752577,0.9766666666666667,0.8517441860465116,0.9016555555555555,0.16333333333333333,generator,TangoFlux (TTA),UNSEEN
G07,600.0,300.0,300.0,0.51,0.51,0.5153061224489796,0.33666666666666667,0.40725806451612906,0.49706666666666666,0.51,generator,AudioLDM 2 (ATA),UNSEEN
