,n,n_real,n_fake,accuracy,bal_acc,precision,recall,f1,auc,eer,scope,name,seen
train,6000.0,1200.0,4800.0,0.999,0.9990625,0.999791492910759,0.9989583333333333,0.9993747394747812,0.9999979166666667,0.0008333333333333335,split,,
validation,1500.0,300.0,1200.0,0.9986666666666667,0.9991666666666666,1.0,0.9983333333333333,0.9991659716430359,0.9999861111111111,0.0016666666666667052,split,,
test,2400.0,300.0,2100.0,0.93,0.9285714285714286,0.9888663967611336,0.9304761904761905,0.9587831207065751,0.9804603174603175,0.07285714285714284,split,,
G01,600.0,300.0,300.0,0.9633333333333334,0.9633333333333334,0.9316770186335404,1.0,0.9646302250803859,0.9980111111111111,0.02333333333333333,generator,AudioLDM (TTA),seen
G02,600.0,300.0,300.0,0.96,0.96,0.93125,0.9933333333333333,0.9612903225806452,0.9967333333333332,0.030000000000000027,generator,AudioLDM 2 (TTA),seen
G03,600.0,300.0,300.0,0.9566666666666667,0.9566666666666667,0.9308176100628931,0.9866666666666667,0.9579288025889967,0.995211111111111,0.04000000000000001,generator,AudioGen (TTA),seen
G04,600.0,300.0,300.0,0.96,0.96,0.93125,0.9933333333333333,0.9612903225806452,0.9966444444444444,0.036666666666666625,generator,AudioLDM (ATA),seen
G05,600.0,300.0,300.0,0.8816666666666667,0.8816666666666666,0.9194139194139194,0.8366666666666667,0.8760907504363001,0.9551222222222222,0.09666666666666668,generator,AudioLCM (TTA),UNSEEN
G06,600.0,300.0,300.0,0.89,0.89,0.920863309352518,0.8533333333333334,0.8858131487889274,0.9620666666666667,0.09333333333333332,generator,TangoFlux (TTA),UNSEEN
G07,600.0,300.0,300.0,0.8883333333333333,0.8883333333333333,0.9205776173285198,0.85,0.8838821490467937,0.9594333333333334,0.08999999999999997,generator,AudioLDM 2 (ATA),UNSEEN
