,n,n_real,n_fake,accuracy,bal_acc,precision,recall,f1,auc,eer,scope,name,seen
train,6000.0,1200.0,4800.0,0.9985,0.9990625,1.0,0.998125,0.9990616202690021,0.9999935763888889,0.0008333333333333335,split,,
validation,1500.0,300.0,1200.0,0.9966666666666667,0.9966666666666667,0.9991645781119465,0.9966666666666667,0.9979140592407175,0.999925,0.003333333333333334,split,,
test,2400.0,300.0,2100.0,0.9541666666666667,0.9395238095238095,0.9882237487733072,0.959047619047619,0.9734171097148381,0.9860333333333333,0.06333333333333335,split,,
G01,600.0,300.0,300.0,0.96,0.96,0.9259259259259259,1.0,0.9615384615384616,0.9979666666666667,0.010000000000000009,generator,AudioLDM (TTA),seen
G02,600.0,300.0,300.0,0.9583333333333334,0.9583333333333334,0.9256965944272446,0.9966666666666667,0.9598715890850722,0.9965222222222222,0.013333333333333308,generator,AudioLDM 2 (TTA),seen
G03,600.0,300.0,300.0,0.9533333333333334,0.9533333333333334,0.925,0.9866666666666667,0.9548387096774194,0.9935555555555556,0.03666666666666667,generator,AudioGen (TTA),seen
G04,600.0,300.0,300.0,0.96,0.96,0.9259259259259259,1.0,0.9615384615384616,0.9953888888888889,0.03,generator,AudioLDM (ATA),seen
G05,600.0,300.0,300.0,0.9,0.9,0.9166666666666666,0.88,0.8979591836734694,0.9716666666666667,0.09666666666666668,generator,AudioLCM (TTA),UNSEEN
G06,600.0,300.0,300.0,0.9333333333333333,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9789444444444445,0.06666666666666665,generator,TangoFlux (TTA),UNSEEN
G07,600.0,300.0,300.0,0.9116666666666666,0.9116666666666666,0.9186440677966101,0.9033333333333333,0.9109243697478991,0.9681888888888889,0.08333333333333337,generator,AudioLDM 2 (ATA),UNSEEN
