model,generator,seen,eer,auc,f1,threshold,n_real,n_fake
aasist,G01,True,0.1,0.9659333333333333,0.9,3.129478931427002,300,300
aasist,G02,True,0.10333333333333333,0.9648,0.8966666666666666,3.0646219253540035,300,300
aasist,G03,True,0.17333333333333334,0.914611111111111,0.8266666666666667,1.8482322692871094,300,300
aasist,G04,True,0.10333333333333339,0.9655555555555555,0.8966666666666666,3.0492746829986572,300,300
aasist,G05,False,0.2866666666666666,0.7729,0.7133333333333334,0.0391116067767144,300,300
aasist,G06,False,0.2366666666666667,0.8287333333333333,0.7633333333333333,0.5457036495208738,300,300
aasist,G07,False,0.11333333333333334,0.9478777777777778,0.8885191347753744,2.712339162826537,300,300
beats_aasist,G01,True,0.21999999999999997,0.8694555555555555,0.7759197324414716,2.2898142337799072,300,300
beats_aasist,G02,True,0.2766666666666666,0.815911111111111,0.7233333333333334,1.853075996041298,300,300
beats_aasist,G03,True,0.2466666666666667,0.8442,0.7533333333333333,1.9947087764739988,300,300
beats_aasist,G04,True,0.22666666666666668,0.8542333333333334,0.7733333333333333,2.1401500701904297,300,300
beats_aasist,G05,False,0.30999999999999994,0.7859444444444444,0.6878130217028381,1.4659236669540405,300,300
beats_aasist,G06,False,0.27,0.8315555555555556,0.73,1.8876680135726929,300,300
beats_aasist,G07,False,0.51,0.47967777777777776,0.49,-0.7135471105575562,300,300
cnn,G01,True,0.17666666666666664,0.8874333333333333,0.8247078464106845,1.6477316617965698,300,300
cnn,G02,True,0.19,0.872811111111111,0.8080133555926544,1.5967001914978027,300,300
cnn,G03,True,0.18,0.8774777777777778,0.8180300500834724,1.6406823098659515,300,300
cnn,G04,True,0.29333333333333333,0.7348666666666668,0.7109634551495017,0.9882799386978149,300,300
cnn,G05,False,0.1333333333333333,0.9336111111111111,0.8666666666666667,1.9626822471618652,300,300
cnn,G06,False,0.16333333333333333,0.9016555555555555,0.8366666666666667,1.7297965288162231,300,300
cnn,G07,False,0.51,0.49706666666666666,0.49,0.5262072086334229,300,300
fusion,G01,True,0.17666666666666664,0.9090333333333334,0.8233333333333334,3.065669298171997,300,300
fusion,G02,True,0.22333333333333338,0.8713555555555557,0.7805695142378559,2.5646140575408936,300,300
fusion,G03,True,0.20999999999999996,0.8830444444444444,0.79,2.624321460723877,300,300
fusion,G04,True,0.19333333333333336,0.8971111111111112,0.8066666666666666,2.847061475118001,300,300
fusion,G05,False,0.17666666666666667,0.9122777777777777,0.8252911813643927,3.2323464666094095,300,300
fusion,G06,False,0.20333333333333337,0.8808666666666667,0.7966666666666666,2.7022523880004883,300,300
fusion,G07,False,0.5133333333333334,0.4855222222222222,0.4891846921797005,-0.485825518767039,300,300
logmel_cnn,G01,True,0.010000000000000009,0.9979666666666667,0.99,2.7549574375152583,300,300
logmel_cnn,G02,True,0.013333333333333308,0.9965222222222222,0.9866666666666667,2.4725997447967543,300,300
logmel_cnn,G03,True,0.03666666666666667,0.9935555555555556,0.9633333333333334,1.4200630187988283,300,300
logmel_cnn,G04,True,0.03,0.9953888888888889,0.97,1.7459505796432508,300,300
logmel_cnn,G05,False,0.09666666666666668,0.9716666666666667,0.9033333333333333,-1.0621707737445834,300,300
logmel_cnn,G06,False,0.06666666666666665,0.9789444444444445,0.9333333333333333,-0.08084311336278899,300,300
logmel_cnn,G07,False,0.08333333333333337,0.9681888888888889,0.9166666666666666,-0.6590076088905343,300,300
